
"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Using Game Theory to Manage Self-Aware Unmanned Aerial Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Outriggers and Training Wheels for Cooperating Systems.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,What Reasonable Guarantees Can We Make for a SISSY System.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Improving Security and Interoperability of Interwoven Systems through Rigorous Selective Encapsulation of Critical Physical Resources.

"2019 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W), Trento, Italy, September 3-7, 2019.",____,Levels of Networked Self-Awareness.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Detailed Configuration of Spatial Hadoop-based Spatial Big Data System and Main Service Status.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Decentralized Machine Learning.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Big Data for Speech and Language Processing.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Transformational Role of Big Data in Society 5.0.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"Three principles of data science: predictability, computability, and stability (PCS)."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,On Metric Learning for Complex Data Analysis.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Heuristics Significance of Neuro-Ensemble-based Time Series Classification.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Best-Choice Edge Grafting for Efficient Structure Learning of Markov Random Fields.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Detecting Latent Structure Uncertainty with Structural Entropy.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Incorporating Prior Domain Knowledge into Deep Neural Networks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Hybridization of Active Learning and Data Programming for Labeling Large Industrial Datasets.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Semi-supervised Deep Representation Learning for Multi-View Problems.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Linear Models with Many Cores and CPUs: A Stochastic Atomic Update Scheme.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Projection-SVM: Distributed Kernel Support Vector Machine for Big Data using Subspace Partitioning.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,DeepFP: A Deep Learning Framework For User Fingerprinting via Mobile Motion Sensors.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,AdaDIF: Adaptive Diffusions for Efficient Semi-supervised Learning over Graphs.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Topological approaches to skin disease image analysis.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Scalable Bottom-up Subspace Clustering using FP-Trees for High Dimensional Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Securing Behavior-based Opinion Spam Detection.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Scaling up Inference in MLNs with Spark.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Representation Learning for Question Classification via Topic Sparse Autoencoder and Entity Embedding.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Effective Outlier Detection based on Bayesian Network and Proximity.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Source Free Domain Adaptation Using an Off-the-Shelf Classifier.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Queryable Compression on Time-Evolving Social Networks with Streaming.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Efficient Dimensionality Reduction for Sparse Binary Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Hash-Grams On Many-Cores and Skewed Distributions.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Biomedical Data Ensemble Classification using Random Projections.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Predicting and Optimizing City-Scale Road Traffic Dynamics Using Trajectories of Individual Vehicles.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Learning-based Automatic Parameter Tuning for Big Data Analytics Frameworks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Dynamic and Transparent Memory Sharing for Accelerating Big Data Analytics Workloads in Virtualized Cloud.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Online Density Estimation over Streaming Data: A Local Adaptive Solution.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,ARCHIE: Data Analysis Acceleration with Array Caching in Hierarchical Storage.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Method-Level Test Generation Framework for Debugging Big Data Applications.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Mira: Sharing Resources for Distributed Analytics at Small Timescales.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,An Empirical Analysis on Expressibility of Vertex Centric Graph Processing Paradigm.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Reinforcement Learning Based Resource Management Approach for Time-critical Workloads in Distributed Computing Environment.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Practical Cross Program Memoization with KeyChain.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Scalable Manifold Learning for Big Data with Apache Spark.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Column Cache: Buffer Cache for Columnar Storage on HDFS.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Analyzing Alibaba's Co-located Datacenter Workloads.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,OverSketch: Approximate Matrix Multiplication for the Cloud.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Parallel DBSCAN Algorithm Using a Data Partitioning Strategy with Spark Implementation.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Communication Model for Parallel Iterative Stream Processing.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Spark-uDAPL: Cost-Saving Big Data Analytics on Microsoft Azure Cloud with RDMA Networks*.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Cluster-based Data Reduction for Persistent Homology.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,GreenDataFlow: Minimizing the Energy Footprint of Global Data Movement.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Parallel Large-Scale Neural Network Training For Online Advertising.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,POSUM: A Portfolio Scheduler for MapReduce Workloads.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Serverless Big Data Processing using Matrix Multiplication as Example.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Versatile Communication Optimization for Deep Learning by Modularized Parameter Server.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Experimental Characterizations and Analysis of Deep Learning Frameworks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Scalable Distributed Top-k Join Queries in Topic-Based Pub/Sub Systems.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,GeoMatch: Efficient Large-Scale Map Matching on Apache Spark.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Sync-on-the-fly: A Parallel Framework for Gradient Descent Algorithms on Transient Resources.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,XOS: An Application-Defined Operating System for Datacenter Computing.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"Accelerating a Distributed CPD Algorithm for Large Dense, Skewed Tensors."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Concept-Driven Load Shedding: Reducing Size and Error of Voluminous and Variable Data Streams.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Optimizing Lossy Compression with Adjacent Snapshots for N-body Simulation Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Error-Controlled Lossy Compression Optimized for High Compression Ratios of Scientific Datasets.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Influence Maximization in Evolving Multi-Campaign Environments.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,HYPE: Massive Hypergraph Partitioning with Neighborhood Expansion.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"Alleviating I/O Inefficiencies to Enable Effective Model Training Over Voluminous, High-Dimensional Datasets."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Explaining Aggregates for Exploratory Analytics.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Truth Inference on Sparse Crowdsourcing Data with Local Differential Privacy.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Cloud based Real-Time and Low Latency Scientific Event Analysis.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Optimized Storing of Workflow Outputs through Mining Association Rules.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Universal Namespace Approach to Support Metadata Management and Efficient Data Convergence of HPC and Cloud Scientific Workflows.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Aggregation of Linked Data : A case study in the cultural heritage domain.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Distributed Execution of Spatial SQL Queries.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Dynamic Online Performance Optimization in Streaming Data Compression.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,FastTopK: A Fast Top-K Trajectory Similarity Query Processing Algorithm for GPUs.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Integrated Real-Time Data Stream Analysis and Sketch-Based Video Retrieval in Team Sports.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Efficient Processing of Probabilistic Single and Batch Reachability Queries in Large and Evolving Spatiotemporal Contact Networks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Survey on Trajectory Data Management for Hybrid Transactional and Analytical Workloads.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,FairGAN: Fairness-aware Generative Adversarial Networks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Steering Top-k Influencers in Dynamic Graphs via Local Updates.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Mining top-k Popular Datasets via a Deep Generative Model.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Data-Centric Approach for Image Scene Localization.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Sketch-Based Naive Bayes Algorithms for Evolving Data Streams.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Optimal k-Nearest-Neighbor Query Processing via Multiple Lower Bound Approximations.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Constructing Influence Trees from Temporal Sequence of Retweets: An Analytical Approach.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Scalable Construction of Text Indexes with Thrill.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Candidate List Maintenance in High Utility Sequential Pattern Mining.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Revisiting Exact kNN Query Processing with Probabilistic Data Space Transformations.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Benchmarking API Costs of Network Sampling Strategies.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Learning Multiclassifiers with Predictive Features that Vary with Data Distribution.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Adaptive Data Pruning for Support Vector Machines.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,A Multi-Criteria Experimental Ranking of Distributed SPARQL Evaluators.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,An Efficient System for Subgraph Discovery.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,AURORA: Auditing PageRank on Large Graphs.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Efficient Discovery of Weighted Frequent Itemsets in Very Large Transactional Databases: A Re-visit.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Automated Extraction of Personal Knowledge from Smartphone Push Notifications.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Fast Clustering with Flexible Balance Constraints.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,On Learning Psycholinguistics Tools for English-based Creole Languages using Social Media Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Hot Spot Analysis over Big Trajectory Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Influence Maximization in Social Networks With Non-Target Constraints.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Fast and Accurate Mining of Node Importance in Trajectory Networks.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,ParIS: The Next Destination for Fast Data Series Indexing and Query Answering.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Differentially Private Semi-Supervised Learning With Known Class Priors.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,BigSR: real-time expressive RDF stream reasoning on modern Big Data platforms.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Fast Bag-Of-Words Candidate Selection in Content-Based Instance Retrieval Systems.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Using Smart Card Data to Model Commuters' Responses Upon Unexpected Train Delays.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Improved Dynamic Memory Network for Dialogue Act Classification with Adversarial Training.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Semi-supervised Multi-instance Interpretable Models for Flu Shot Adverse Event Detection.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Lifelong Learning Memory Networks for Aspect Sentiment Classification.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,ImVerde: Vertex-Diminished Random Walk for Learning Imbalanced Network Representation.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Fusion of Terrain Information and Mobile Phone Location Data for Flood Area Detection in Rural Areas.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,FauxBuster: A Content-free Fauxtography Detector Using Social Media Comments.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,StreamGuard: A Bayesian Network Approach to Copyright Infringement Detection Problem in Large-scale Live Video Sharing Systems.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,PER: A Probabilistic Attentional Model for Personalized Text Recommendations.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,One-Shot Learning on Attributed Sequences.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Identifying Pros and Cons of Product Aspects Based on Customer Reviews.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Spatio-Temporal Attention based Recurrent Neural Network for Next Location Prediction.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Predicting computational reproducibility of data analysis pipelines in large population studies using collaborative filtering.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"SynthNotes: A Generator Framework for High-volume, High-fidelity Synthetic Mental Health Notes."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Context-Aware Deep Sequence Learning with Multi-View Factor Pooling for Time Series Classification.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,AnySC: Anytime Set-wise Classification of Variable Speed Data Streams.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,StageMap: Extracting and Summarizing Progression Stages in Event Sequences.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Correlated Anomaly Detection from Large Streaming Data.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Context Aware Recommender System for Large Scaled Flash Sale Sites.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Local Partition in Rich Graphs.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,CAM: A Combined Attention Model for Natural Language Inference.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Efficient Principal Subspace Projection of Streaming Data Through Fast Similarity Matching.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"PACAS: Privacy-Aware, Data Cleaning-as-a-Service."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Detecting Highly Overlapping Community Structure by Model-based Maximal Clique Expansion.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Clustering-Driven and Dynamically Diversified Ensemble for Drifting Data Streams.

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,"Monitoring the shape of weather, soundscapes, and dynamical systems: a new statistic for dimension-driven data analysis on large datasets."

"IEEE International Conference on Big Data, Big Data 2019, Seattle, WA, USA, December 10-13, 2019.",____,Top-N-Rank: A Scalable List-wise Ranking Method for Recommender Systems.

